,precision,recall,f1-score,support
0,0.8149197355996223,0.863,0.8382710053423992,1000.0
1,0.9908163265306122,0.971,0.9808080808080808,1000.0
2,0.799,0.799,0.799,1000.0
3,0.8885714285714286,0.933,0.9102439024390244,1000.0
4,0.7970204841713222,0.856,0.8254580520732884,1000.0
5,0.9730290456431535,0.938,0.955193482688391,1000.0
6,0.7405140758873929,0.605,0.6659328563566318,1000.0
7,0.9190523198420533,0.931,0.9249875807252856,1000.0
8,0.949317738791423,0.974,0.9615004935834156,1000.0
9,0.9351032448377581,0.951,0.9429846306395637,1000.0
accuracy,0.8821,0.8821,0.8821,0.8821
macro avg,0.8807344399874767,0.8821000000000001,0.8804380084656082,10000.0
weighted avg,0.8807344399874766,0.8821,0.880438008465608,10000.0
